player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,played
1,90,0,0,0,1,0,0,0,0,0,4,0,15,28.8,0.0,0.0,2.9,2,11,0,0,1,0.00,0.01,0.01,0.39,3,False,True
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
4,90,0,0,0,1,0,0,0,0,0,0,0,10,23.6,2.4,76.0,10.2,7,4,0,7,1,0.31,0.02,0.33,0.39,2,False,True
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
7,66,0,0,0,1,0,0,0,0,0,0,0,5,0.0,12.7,4.0,1.0,0,2,0,2,1,0.03,0.10,0.13,0.26,2,False,True
8,66,0,0,0,1,0,0,0,0,0,0,0,0,4.4,3.2,26.0,3.4,0,1,1,1,1,0.39,0.03,0.42,0.26,2,False,True
9,23,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.5,2.0,0.9,2,0,1,3,0,0.00,0.00,0.00,0.13,1,False,True
10,90,0,0,0,1,0,0,0,0,0,0,0,11,15.8,5.1,10.0,3.1,4,4,2,6,1,0.00,0.03,0.03,0.39,2,False,True
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
12,89,0,0,0,1,0,0,0,0,0,0,0,13,10.6,27.8,70.0,10.8,1,2,1,4,1,0.23,0.23,0.46,0.39,2,False,True
13,90,0,1,0,1,0,0,0,0,0,0,0,22,33.8,19.9,2.0,5.6,5,1,0,6,1,0.03,0.08,0.11,0.39,5,False,True
