player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,played
1,90,0,0,1,0,0,0,0,0,0,0,0,21,5.6,0.0,0.0,0.6,1,11,0,0,1,0.00,0.00,0.00,0.33,6,False,True
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
4,90,0,0,1,0,0,0,0,0,0,0,0,23,18.2,3.2,6.0,2.7,8,5,2,10,1,0.13,0.02,0.15,0.33,8,False,True
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
7,70,0,0,1,0,0,0,0,0,0,0,0,15,10.6,3.2,5.0,1.9,4,1,0,5,1,0.07,0.02,0.09,0.33,3,False,True
8,90,0,1,1,0,0,0,0,0,0,0,2,30,21.2,11.9,9.0,4.2,2,4,1,3,1,0.11,0.46,0.57,0.33,11,True,True
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
10,90,0,0,1,0,0,0,0,0,0,0,1,26,16.4,20.3,0.0,3.7,3,2,1,4,1,0.00,0.05,0.05,0.33,7,False,True
11,78,0,0,1,0,0,0,0,0,0,0,0,25,10.2,1.4,0.0,1.2,4,0,0,4,1,0.00,0.01,0.01,0.33,6,False,True
12,90,1,0,1,0,0,0,0,0,0,0,3,46,41.0,8.0,44.0,9.3,3,6,2,11,1,0.63,0.04,0.67,0.33,11,False,True
13,84,0,0,1,0,0,0,0,0,0,0,0,19,24.0,27.6,0.0,5.2,2,7,3,12,1,0.00,0.10,0.10,0.33,5,False,True
14,45,0,0,0,0,0,0,0,0,0,0,0,6,1.6,2.0,2.0,0.6,0,3,0,3,0,0.00,0.07,0.07,0.24,1,False,True
15,70,0,0,1,0,0,0,0,0,0,0,0,13,6.8,6.8,5.0,1.9,2,1,2,5,1,0.08,0.07,0.15,0.33,3,False,True
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
17,19,0,0,0,0,0,0,0,0,0,0,0,7,2.8,1.0,0.0,0.4,0,4,0,4,0,0.00,0.00,0.00,0.00,1,False,True
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
19,5,0,0,0,0,0,0,0,0,0,0,0,5,4.8,0.9,0.0,0.6,0,0,2,2,0,0.00,0.00,0.00,0.00,1,False,True
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
26,90,0,0,1,0,0,0,0,0,0,0,0,5,2.4,3.4,23.0,2.9,0,5,0,5,1,0.02,0.03,0.05,0.33,2,False,True
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
28,90,0,0,0,3,0,0,0,0,0,4,0,18,36.2,20.0,0.0,5.6,1,13,0,0,1,0.00,0.01,0.01,1.41,2,False,True
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
31,11,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0.1,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.00,1,False,True
32,77,0,0,0,1,0,0,0,0,0,0,0,8,14.0,1.8,7.0,2.3,2,1,4,6,1,0.15,0.01,0.16,1.04,2,False,True
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
34,90,0,0,0,1,0,0,0,0,0,0,0,6,11.0,0.8,0.0,1.2,3,8,1,4,1,0.00,0.01,0.01,1.04,2,False,True
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
36,90,0,0,0,1,0,0,0,1,0,0,0,-5,4.8,0.5,12.0,1.7,5,2,3,8,1,0.07,0.00,0.07,1.04,1,False,True
37,90,0,0,0,1,0,0,0,0,0,0,0,10,15.0,1.2,0.0,1.6,6,1,1,7,1,0.00,0.08,0.08,1.04,2,False,True
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
40,90,0,1,0,3,0,0,0,0,0,0,0,28,26.8,46.5,23.0,9.6,1,3,1,5,1,0.14,1.01,1.15,1.41,5,False,True
41,90,0,0,0,1,0,0,0,0,0,0,0,9,5.0,13.2,9.0,2.7,0,4,1,5,1,0.04,0.02,0.06,1.04,2,False,True
42,27,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.3,0.0,0.3,1,0,0,1,0,0.00,0.01,0.01,0.20,1,False,True
43,90,0,0,0,2,0,0,0,0,0,0,0,26,33.2,46.3,20.0,10.0,4,7,2,13,1,0.47,0.11,0.58,2.06,4,False,True
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
45,90,0,0,0,1,0,0,0,1,0,0,0,2,0.0,12.0,10.0,1.7,1,2,1,4,1,0.05,0.05,0.10,1.04,1,False,True
46,77,0,0,0,1,0,0,0,0,0,0,0,23,12.8,23.3,2.0,3.8,1,6,3,10,1,0.03,0.02,0.05,1.04,2,False,True
47,90,0,0,0,1,0,0,0,0,0,0,0,13,10.6,14.2,0.0,2.5,3,4,1,8,1,0.00,0.03,0.03,1.04,2,False,True
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,False
