player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
1,90,0,0,0,2,0,0,0,0,0,1,0,8,14.4,0.0,0.0,1.4,0,12,0,0,1,0.00,0.00,0.00,1.19,1,False
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
5,90,0,1,0,2,0,0,0,0,0,0,0,12,16.0,0.6,21.0,3.8,7,5,1,8,1,0.08,0.01,0.09,1.19,4,False
6,90,0,0,0,2,0,0,0,0,0,0,0,12,16.6,10.8,2.0,2.9,5,2,1,6,1,0.00,0.00,0.00,1.19,1,False
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
10,90,0,0,0,2,0,0,0,0,0,0,0,5,14.0,2.3,7.0,2.3,3,3,2,5,1,0.05,0.02,0.07,1.19,1,False
11,75,0,0,0,2,0,0,0,0,0,0,0,13,20.2,12.3,2.0,3.5,7,3,2,9,1,0.02,0.02,0.04,1.18,1,False
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
18,53,0,0,0,1,0,0,0,0,0,0,0,4,3.4,5.9,4.0,1.3,0,0,2,2,1,0.00,0.07,0.07,0.70,1,False
19,53,0,0,0,1,0,0,0,0,0,0,0,3,1.2,10.8,2.0,1.4,0,1,0,1,1,0.00,0.01,0.01,0.70,1,False
20,36,0,0,0,1,0,0,0,0,0,0,0,4,8.0,14.0,6.0,2.8,2,0,0,2,0,0.00,0.01,0.01,0.49,1,False
21,90,0,0,0,2,0,0,0,0,0,0,2,26,20.4,39.3,13.0,7.3,1,4,3,8,1,0.10,0.33,0.43,1.19,4,False
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
26,75,0,0,0,2,0,0,0,0,0,0,0,14,10.6,4.9,4.0,2.0,4,3,3,10,1,0.00,0.01,0.01,1.18,2,False
27,45,0,0,0,1,0,0,0,0,0,0,0,5,5.6,13.8,5.0,2.4,0,3,1,4,0,0.03,0.02,0.05,0.74,1,False
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
30,53,0,0,0,1,0,0,0,0,0,0,0,-5,1.0,1.3,14.0,1.6,2,3,2,7,1,0.96,0.01,0.97,0.70,1,False
31,14,0,0,0,0,0,0,0,0,0,0,0,5,6.4,11.5,21.0,3.9,0,0,0,0,0,0.08,0.04,0.12,0.01,1,False
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
33,90,0,0,0,1,0,0,0,0,0,4,0,14,25.4,0.0,0.0,2.5,1,9,0,0,1,0.00,0.00,0.00,1.15,3,False
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
36,90,0,0,0,1,0,0,0,1,0,0,0,5,11.6,4.3,13.0,2.9,4,2,0,4,1,0.03,0.02,0.05,1.15,1,False
37,77,0,0,0,1,0,0,0,0,0,0,0,16,22.8,30.8,4.0,5.8,4,3,4,8,1,0.00,0.07,0.07,1.15,2,False
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
39,12,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.3,19.0,2.3,0,0,0,0,0,0.15,0.00,0.15,0.00,1,False
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
41,90,0,0,0,1,0,0,0,0,0,0,0,8,14.4,1.4,0.0,1.6,1,4,1,2,1,0.00,0.01,0.01,1.15,2,False
42,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.00,1,False
