id,full_name,web_name,team_name,position,now_cost_millions,total_points,points_per_game,selected_by_percent,form,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_next_round,news,ep_next,ep_this
131,Yunus Emre Konak,Konak,Brentford,Midfielder,4.3,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,92,38108,44811,u,0.0,has joined Oxford United on loan for the rest of the season.,0.0,0.0
132,Paris Maghoma,Maghoma,Brentford,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,4038,5496,u,0.0,has joined Norwich City permanently.,0.0,0.0
133,Myles Peart-Harris,Peart-Harris,Brentford,Midfielder,4.4,1,1.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,7,3881,6401,u,0.0,has joined Oxford United permanently.,0.0,0.0
134,Ryan Trevitt,Trevitt,Brentford,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,950,u,0.0,Has joined Wigan on loan for the rest of the season,0.0,0.0
136,Igor Thiago Nascimento Rodrigues,Thiago,Brentford,Forward,7.3,149,5.0,35.9,4.0,2562,19,1,7,40,6,0,19,607,826.6,278.1,982.0,208.4,54611,13270,8976938,4683246,a,100.0,,4.0,4.5
137,Iwan Morgan,Morgan,Brentford,Forward,4.4,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,67,52422,81689,u,0.0,has joined Shrewsbury on loan for the rest of the season.,0.0,0.0
748,Josh Dasilva,Dasilva,Brentford,Midfielder,4.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,196,228,i,0.0,Lack of match fitness - Expected back 24 May,0.0,0.0
797,Kaye Furo,Furo,Brentford,Forward,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,45,1947,1088,a,,,0.0,0.5
810,Luka Bentt,Bentt,Brentford,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,4,337,133,a,,,0.0,0.5
819,Ollie Shield,Shield,Brentford,Defender,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,13,227,52,a,,,0.0,0.5
138,Jason Steele,Steele,Brighton,Goalkeeper,4.2,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,129,10694,39831,a,,,-0.5,0.0
139,Bart Verbruggen,Verbruggen,Brighton,Goalkeeper,4.5,98,3.3,5.4,4.8,2700,0,0,7,36,3,0,4,486,728.0,10.0,0.0,73.9,5108,2459,706516,867948,a,,,4.3,4.8
140,Tom McGill,McGill,Brighton,Goalkeeper,3.9,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,160,18219,28444,a,,,-0.5,0.0
141,Carl Rushworth,Rushworth,Brighton,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,246,u,0.0,Has joined Coventry City on loan for the rest of the season.,0.0,0.0
142,Kjell Scherpen,Scherpen,Brighton,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,205,u,0.0,Has joined Union SG permanently,0.0,0.0
143,Olivier Boscagli,Boscagli,Brighton,Defender,4.2,21,2.6,0.1,0.2,439,0,1,1,5,2,0,2,88,122.0,46.4,12.0,18.1,20,49,6628,13044,a,,,-0.3,0.2
144,Diego Coppola,Coppola,Brighton,Defender,4.2,10,2.0,0.0,0.0,193,0,0,1,3,2,0,0,32,42.4,3.7,2.0,4.8,0,16,2735,8294,u,0.0,has joined Paris FC on loan for the rest of the season.,0.0,0.0
145,Maxim De Cuyper,De Cuyper,Brighton,Defender,4.3,61,2.5,1.7,0.8,1145,2,0,4,18,2,0,6,228,215.2,319.7,132.0,66.7,155,1239,255071,719866,a,100.0,,0.3,0.8
146,Lewis Dunk,Dunk,Brighton,Defender,4.5,81,2.9,1.0,4.5,2475,0,1,6,34,9,0,3,383,569.2,107.7,154.0,83.3,2393,434,160524,199649,a,100.0,,4.0,4.5
147,Pervis Estupiñán Tenorio,Estupiñan,Brighton,Defender,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,1987,u,0.0,Has joined AC Milan permanently,0.0,0.0
148,Ferdi Kadıoğlu,F.Kadıoğlu,Brighton,Defender,4.4,84,2.9,0.4,4.8,2410,0,2,7,31,6,0,4,388,378.0,345.2,183.0,90.9,1248,426,84739,67866,a,,,4.3,4.8
149,Igor Julio dos Santos de Paulo,Igor,Brighton,Defender,4.5,6,1.5,0.1,0.0,103,0,0,0,3,0,0,0,10,25.8,10.6,0.0,3.6,70,42,9329,10432,a,100.0,,-0.5,0.0
150,Tariq Lamptey,Lamptey,Brighton,Defender,4.4,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,2778,38616,u,0.0,has joined Fiorentina permanently.,0.0,0.0
151,Jan Paul van Hecke,Van Hecke,Brighton,Defender,4.4,116,4.1,4.3,6.0,2490,3,2,7,34,7,0,8,447,800.4,181.9,235.0,122.1,24679,2726,1046516,662422,a,100.0,,5.5,6.0
152,Joël Veltman,Veltman,Brighton,Defender,4.3,35,1.9,0.1,1.0,841,1,0,1,12,4,0,1,134,222.8,71.5,63.0,35.8,36,124,22343,36469,a,100.0,,0.5,1.0
153,Adam Webster,Webster,Brighton,Defender,4.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,6,974,1743,i,0.0,Knee injury - Unknown return date,0.0,0.0
154,Eiran Cashin,Cashin,Brighton,Defender,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,784,u,0.0,has joined Blackburn Rovers on loan for the rest of the season.,0.0,0.0
155,Jacob Slater,Slater,Brighton,Defender,4.0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,3175,16657,u,0.0,has joined Harrogate Town on loan until January.,0.0,0.0
156,Charlie Tasker,Tasker,Brighton,Defender,3.8,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,83,12320,17341,a,,,-0.5,0.0
157,Mitoma Kaoru,Mitoma,Brighton,Midfielder,6.1,50,2.6,1.8,1.2,1408,2,1,4,16,3,0,2,184,222.2,362.3,305.0,88.6,70,1679,281098,859419,d,75.0,Ankle injury - 75% chance of playing,0.5,0.9
158,Georginio Rutter,Georginio,Brighton,Midfielder,5.6,69,2.9,0.3,1.0,1592,2,4,6,17,2,0,2,232,263.6,291.5,368.0,92.2,100,313,131326,254406,a,100.0,,0.5,1.0
159,Solly March,March,Brighton,Midfielder,5.8,1,1.0,0.0,0.2,4,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,92,45,1343,2691,a,100.0,,-0.3,0.2
160,Yankuba Minteh,Minteh,Brighton,Midfielder,5.5,94,3.6,1.8,2.5,1754,2,8,7,26,1,0,8,361,371.0,498.9,494.0,136.6,3293,779,1928324,1879419,a,100.0,,2.0,2.5
161,Julio Enciso Espínola,Enciso,Brighton,Midfielder,5.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,105,2960,u,0.0,has joined Strasbourg permanently.,0.0,0.0
162,Brajan Gruda,Gruda,Brighton,Midfielder,5.4,35,1.9,0.0,0.0,708,1,1,2,11,2,0,2,114,134.4,217.1,152.0,50.0,0,15,16799,19733,u,0.0,has joined Leipzig on loan for the rest of the season.,0.0,0.0
163,Jack Hinshelwood,Hinshelwood,Brighton,Midfielder,5.1,53,2.8,0.1,4.0,1088,1,4,3,16,0,0,2,190,172.8,148.7,220.0,53.8,134,80,10469,17411,a,100.0,,3.5,4.0
164,Matt O'Riley,O'Riley,Brighton,Midfielder,5.5,14,3.5,0.3,0.2,186,1,0,1,2,0,0,2,42,61.6,67.4,63.0,19.2,52,47,132081,199709,a,100.0,,-0.3,0.2
165,Abdallah Sima,Sima,Brighton,Midfielder,5.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,247,2247,u,0.0,has joined Lens permanently.,0.0,0.0
166,Yasin Ayari,Ayari,Brighton,Midfielder,4.8,84,3.7,0.4,0.2,1713,3,3,5,21,1,0,7,351,311.4,215.1,206.0,73.4,169,699,200869,180240,a,100.0,,-0.3,0.2
167,Carlos Baleba,Baleba,Brighton,Midfielder,4.5,40,1.7,1.5,1.0,1261,0,0,4,17,5,0,0,152,99.4,92.8,29.0,22.1,456,1208,201831,550949,a,100.0,,0.5,1.0
169,Diego Gómez Amarilla,Gomez,Brighton,Midfielder,4.9,83,3.1,0.4,6.0,1838,5,0,7,24,8,0,9,330,406.0,296.6,369.0,107.3,5149,936,109126,74193,a,100.0,,5.5,6.0
170,James Milner,Milner,Brighton,Midfielder,4.9,32,1.8,0.1,2.0,639,1,1,2,13,2,0,0,142,128.0,134.8,54.0,31.5,81,56,18975,23666,a,100.0,,1.5,2.0
171,Jeremy Sarmiento Morante,Sarmiento,Brighton,Midfielder,4.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,197,2966,u,0.0,has joined Middlesbrough on loan for the rest of the season.,0.0,0.0
172,Tom Watson,Watson,Brighton,Midfielder,4.8,5,0.8,0.0,0.0,57,0,0,0,2,1,0,0,15,6.0,2.4,7.0,1.6,0,10,2397,4228,u,0.0,has joined Millwall on loan for the rest of the season.,0.0,0.0
173,Mats Wieffer,Wieffer,Brighton,Midfielder,4.9,70,3.5,0.1,3.0,1479,0,4,5,19,6,0,3,308,364.4,263.6,170.0,79.9,74,45,80081,78195,a,100.0,,2.5,3.0
174,Malick Yalcouyé,Yalcouye,Brighton,Midfielder,5.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1266,u,0.0,Has joined Swansea City on loan for the rest of the season.,0.0,0.0
175,Joe Knight,Knight,Brighton,Midfielder,4.4,1,1.0,0.1,0.0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,38,11030,15090,u,0.0,has joined Stevenage permanently.,0.0,0.0
176,Adrian Mazilu,Mazilu,Brighton,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1435,4598,u,0.0,has joined Dinamo Bucharest permanently.,0.0,0.0
177,Andrew Moran,Moran,Brighton,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,490,5108,u,0.0,Has joined Los Angeles FC on loan for the rest of the season.,0.0,0.0
178,Danny Welbeck,Welbeck,Brighton,Forward,6.1,94,3.2,4.0,5.2,1735,10,0,7,21,4,0,14,365,419.6,247.0,501.0,116.1,9331,5016,2076039,2166310,a,100.0,,4.7,5.2
179,Evan Ferguson,Ferguson,Brighton,Forward,5.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1560,u,0.0,Has joined AS Roma on loan for the rest of the season,0.0,0.0
180,Stefanos Tzimas,Tzimas,Brighton,Forward,5.2,16,1.8,0.1,0.0,132,1,1,0,2,0,0,0,55,66.6,65.7,44.0,17.7,16,13,13264,23250,i,0.0,Knee injury - Expected back 01 Jun,0.0,0.0
181,Charalampos Kostoulas,Kostoulas,Brighton,Forward,4.8,30,1.9,0.3,0.0,292,2,1,1,7,2,0,3,117,129.6,80.0,192.0,40.1,101,313,55795,76454,a,,,-0.5,0.0
744,Nehemiah Oriola,Oriola,Brighton,Midfielder,4.5,1,1.0,0.0,0.0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,16,17,2870,2101,a,,,-0.5,0.0
761,Freddie Simmonds,Simmonds,Brighton,Defender,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,18,1052,793,a,,,-0.5,0.0
783,Pascal Groß,Groß,Brighton,Midfielder,5.5,41,3.7,0.1,4.5,916,1,2,3,7,2,0,4,209,221.2,340.6,111.0,67.2,1117,226,23987,11769,a,,,4.0,4.5
795,Harry Howell,Howell,Brighton,Midfielder,4.5,4,1.3,0.0,0.2,92,0,0,0,2,0,0,0,11,10.2,5.1,2.0,1.8,12,20,794,306,a,,,-0.3,0.2
220,Robert Lynch Sánchez,Sánchez,Chelsea,Goalkeeper,4.8,100,3.6,13.1,1.8,2434,0,1,9,33,3,1,7,451,643.0,50.0,0.0,68.9,4195,6448,1692931,2916202,a,100.0,,2.3,2.3
221,Filip Jörgensen,Jörgensen,Chelsea,Goalkeeper,4.3,6,2.0,0.2,0.8,264,0,0,0,4,0,0,0,35,59.6,0.0,0.0,5.9,45,178,16308,27469,d,75.0,Groin Injury - 75% chance of playing,1.0,1.3
222,Mike Penders,Penders,Chelsea,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,341,u,0.0,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
223,Gabriel Słonina,Slonina,Chelsea,Goalkeeper,3.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,63,10108,12787,a,,,0.5,0.5
224,Marc Cucurella Saseta,Cucurella,Chelsea,Defender,6.0,93,3.6,14.2,0.8,1986,1,3,9,22,5,1,5,430,452.6,441.2,206.0,110.0,14494,2715,2745958,3703526,a,100.0,,1.3,1.3
225,Reece James,James,Chelsea,Defender,5.6,113,4.2,8.8,4.0,1892,2,6,8,20,4,0,11,479,446.4,480.8,109.0,103.8,21136,14149,2186889,1918127,d,25.0,Hamstring injury - 25% chance of playing,1.1,4.5
226,Trevoh Chalobah,Chalobah,Chelsea,Defender,5.5,131,4.5,18.2,1.8,2550,3,1,9,34,3,1,7,493,673.4,96.3,154.0,92.3,11238,20581,4814378,2884680,a,100.0,,2.3,2.3
227,Levi Samuels Colwill,Colwill,Chelsea,Defender,4.7,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16,14,1242,30711,i,0.0,Anterior cruciate ligament - Unknown return date,0.0,0.0
228,Malo Gusto,Gusto,Chelsea,Defender,4.9,90,3.3,2.0,3.2,1689,2,3,7,22,2,1,7,359,352.8,308.0,168.0,82.9,2806,1567,487835,482021,a,100.0,,3.7,3.7
229,Benoît Badiashile Mukinayi,B.Badiashile,Chelsea,Defender,4.4,7,0.9,0.0,0.0,470,0,0,0,10,2,0,0,48,102.8,7.9,2.0,11.4,21,36,8958,9262,a,100.0,,0.5,0.5
230,Wesley Fofana,Fofana,Chelsea,Defender,4.4,53,2.9,0.3,1.0,1182,0,1,4,13,3,1,3,246,346.8,49.9,38.0,43.4,320,273,112667,105272,a,100.0,,1.5,1.5
231,Mamadou Sarr,M.Sarr,Chelsea,Defender,4.5,2,1.0,0.0,0.5,91,0,0,0,3,0,0,0,1,6.2,0.1,7.0,1.3,76,94,2745,2953,a,100.0,,1.0,1.0
232,Tosin Adarabioyo,Tosin,Chelsea,Defender,4.0,33,2.4,0.3,0.8,731,0,0,2,12,2,0,2,122,226.2,32.0,19.0,27.8,103,154,107435,221886,a,100.0,,1.3,1.3
233,Josh Acheampong,Acheampong,Chelsea,Defender,3.7,33,2.8,1.7,0.2,567,1,0,2,12,1,0,5,98,125.2,39.2,66.0,23.1,1736,3155,590776,495378,a,100.0,,0.7,0.7
234,Aarón Anselmino,Anselmino,Chelsea,Defender,4.0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1262,10214,u,0.0,has joined Strasbourg on loan for the rest of the season.,0.0,0.0
235,Cole Palmer,Palmer,Chelsea,Midfielder,10.6,94,4.9,17.2,3.8,1326,9,2,3,19,4,0,9,341,450.0,284.6,429.0,116.2,23656,15963,2596489,7295116,a,100.0,,4.3,4.3
236,Pedro Lomba Neto,Neto,Chelsea,Midfielder,7.0,106,3.8,4.1,1.8,2138,5,5,11,21,2,1,8,454,442.8,684.0,427.0,155.6,2123,3950,1934920,1989312,a,100.0,,2.3,0.0
237,Enzo Fernández,Enzo,Chelsea,Midfielder,6.6,127,4.4,15.3,2.2,2487,8,4,8,32,8,0,14,565,661.6,782.7,618.0,206.3,11892,20480,5461130,4225169,a,100.0,,2.7,2.7
238,Estêvão Almeida de Oliveira Gonçalves,Estêvão,Chelsea,Midfielder,6.4,55,2.9,1.7,0.0,738,2,5,4,8,3,0,4,169,177.2,218.3,283.0,67.7,86,1776,852355,907789,a,100.0,,0.5,0.0
239,Jamie Bynoe-Gittens,Gittens,Chelsea,Midfielder,6.0,25,1.6,0.1,0.0,486,0,2,1,7,0,0,0,99,93.0,130.4,91.0,31.3,21,20,17180,41948,d,75.0,Hamstring injury - 75% chance of playing,0.4,0.5
240,Christopher Nkunku,Nkunku,Chelsea,Midfielder,5.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2668,23756,u,0.0,has joined AC Milan permanently.,0.0,0.0
241,Moisés Caicedo Corozo,Caicedo,Chelsea,Midfielder,5.7,94,3.8,7.6,2.2,2104,3,1,6,30,9,1,10,469,484.0,302.3,104.0,88.9,1648,5060,3257363,3208672,a,100.0,,2.7,2.7
244,Roméo Lavia,Lavia,Chelsea,Midfielder,4.9,7,1.0,0.0,0.8,164,0,0,0,3,0,0,0,34,13.0,16.3,2.0,3.1,16,15,2852,4676,a,100.0,,1.3,1.3
245,Mykhailo Mudryk,Mudryk,Chelsea,Midfielder,4.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,1021,1309,s,0.0,Suspended - unknown return date,0.0,0.0
246,Andrey Nascimento dos Santos,Andrey Santos,Chelsea,Midfielder,4.5,31,1.4,0.3,1.2,964,0,0,1,12,4,0,0,171,150.4,125.9,61.0,33.7,112,348,77097,84016,a,100.0,,1.7,1.7
247,Dário Luís Essugo,D.Essugo,Chelsea,Midfielder,4.3,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,86,64,12947,14304,a,100.0,,0.5,0.5
248,Kendry Páez Andrade,Paez,Chelsea,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,950,u,0.0,has joined River Plate on loan for the rest of the season.,0.0,0.0
249,João Pedro Junqueira de Jesus,João Pedro,Chelsea,Forward,7.8,162,5.4,50.2,7.5,2230,14,9,10,24,4,0,28,659,717.4,421.1,795.0,192.9,74877,10768,8231708,8603388,a,,,8.0,8.0
250,Liam Delap,Delap,Chelsea,Forward,6.2,37,1.8,0.9,1.0,772,1,2,2,13,2,0,1,113,65.0,56.2,311.0,42.3,171,328,109494,466823,a,100.0,,1.5,1.5
251,Nicolas Jackson,N.Jackson,Chelsea,Forward,6.5,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,4962,15365,u,0.0,has joined Bayern Munich on loan for the rest of the season.,0.0,0.0
252,Marc Guiu Paz,Marc Guiu,Chelsea,Forward,4.1,12,1.3,5.5,0.0,247,0,1,0,2,1,0,0,19,24.6,38.8,81.0,12.6,1884,4702,1225366,2748881,a,100.0,,0.5,0.5
453,Alejandro Garnacho Ferreyra,Garnacho,Chelsea,Midfielder,6.4,51,2.7,0.5,2.2,1073,1,4,4,14,1,0,3,201,195.8,359.3,344.0,88.9,509,392,241342,230684,a,,,2.7,2.7
672,Jorrel Hato,Hato,Chelsea,Defender,4.6,11,0.7,0.2,0.8,548,0,0,0,13,4,0,0,35,98.0,68.9,24.0,19.1,80,128,17711,40691,a,100.0,,1.3,1.3
743,Landon Emenalo,Emenalo,Chelsea,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,8,1530,1388,a,,,0.5,0.5
789,Max Merrick,Merrick,Chelsea,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,11,420,325,a,,,0.5,0.5
803,Teddy Sharman-Lowe,Sharman-Lowe,Chelsea,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,13,185,122,a,,,0.5,0.5
253,Dean Henderson,Henderson,Crystal Palace,Goalkeeper,5.0,115,4.0,8.1,5.5,2610,0,0,10,35,3,0,7,478,692.0,10.0,0.0,70.1,6312,18489,1098729,944565,a,,,0.0,5.5
254,Walter Benítez,Benitez,Crystal Palace,Goalkeeper,4.0,7,7.0,0.3,1.8,90,0,0,1,0,0,0,0,29,22.8,0.0,0.0,2.3,153,176,15571,31341,a,100.0,,0.0,1.8
255,Remi Matthews,Matthews,Crystal Palace,Goalkeeper,3.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,64,6180,8769,a,,,0.0,0.0
256,Daniel Muñoz Mejía,Muñoz,Crystal Palace,Defender,5.9,109,5.2,7.5,2.8,1779,3,3,9,20,5,0,8,386,438.8,302.3,285.0,102.5,451,25413,3678685,3851669,d,75.0,Shoulder injury - 75% chance of playing,0.0,2.1
257,Maxence Lacroix,Lacroix,Crystal Palace,Defender,5.1,128,4.6,4.4,3.0,2485,1,2,10,34,3,1,8,443,658.6,81.4,248.0,98.8,6555,9715,1619825,1267582,a,100.0,,0.0,3.0
258,Tyrick Mitchell,Mitchell,Crystal Palace,Defender,5.0,114,3.8,2.1,5.0,2668,1,1,11,35,5,0,7,408,509.4,365.8,187.0,106.3,1134,5088,471331,386083,a,,,0.0,5.0
259,Borna Sosa,Sosa,Crystal Palace,Defender,4.8,5,1.0,0.1,0.0,53,0,0,0,1,0,0,0,10,11.0,12.2,4.0,2.7,79,114,11447,18549,a,100.0,,0.0,0.0
261,Chris Richards,Richards,Crystal Palace,Defender,4.4,114,4.4,2.6,5.2,2332,1,0,10,31,3,0,5,415,633.0,149.2,140.0,92.5,1731,6849,957294,806996,a,100.0,,0.0,5.2
262,Chadi Riad Dnanou,Chadi Riad,Crystal Palace,Defender,4.0,14,2.3,0.0,2.0,312,0,1,1,3,2,0,0,58,63.8,21.3,14.0,9.9,61,176,6260,3691,a,100.0,,0.0,2.0
263,Nathaniel Clyne,Clyne,Crystal Palace,Defender,3.8,15,1.9,0.5,0.2,494,0,1,0,9,1,0,2,49,80.6,53.5,33.0,16.6,129,650,91339,104618,a,100.0,,0.0,0.2
264,Rob Holding,Holding,Crystal Palace,Defender,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,3915,u,0.0,Has joined Colorado Rapids permanently.,0.0,0.0
265,Caleb Kporha,Kporha,Crystal Palace,Defender,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12,24,881,2363,a,100.0,,0.0,0.0
267,Ismaïla Sarr,Sarr,Crystal Palace,Midfielder,6.3,93,4.7,4.1,5.5,1726,7,1,9,19,2,0,9,284,377.0,200.3,400.0,97.9,2927,15193,2672046,2755238,a,100.0,,0.0,5.5
268,Cheick Doucouré,Doucouré,Crystal Palace,Midfielder,4.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,1,453,661,i,0.0,Knee injury - Unknown return date,0.0,0.0
269,Romain Esse,Esse,Crystal Palace,Midfielder,4.7,4,1.0,0.1,0.0,40,0,0,0,0,0,0,0,12,6.8,2.7,6.0,1.5,0,14,11622,28798,u,0.0,has joined Coventry City on loan for the rest of the season.,0.0,0.0
270,Will Hughes,Hughes,Crystal Palace,Midfielder,4.7,39,1.4,0.1,0.5,1290,0,1,5,13,7,0,0,184,162.2,291.9,86.0,53.9,18,155,21499,25152,a,100.0,,0.0,0.5
271,Daichi Kamada,Kamada,Crystal Palace,Midfielder,5.0,53,2.6,0.1,1.2,1479,0,2,6,17,2,0,0,252,177.2,244.7,136.0,55.9,36,60,44023,43083,a,100.0,,0.0,1.2
272,Jefferson Lerma Solís,Lerma,Crystal Palace,Midfielder,4.9,54,2.2,0.1,0.8,1246,0,4,6,15,6,0,3,220,223.2,157.1,186.0,56.7,19,58,12062,14784,a,100.0,,0.0,0.8
273,Adam Wharton,Wharton,Crystal Palace,Midfielder,5.0,91,3.4,0.6,3.8,2165,0,6,8,33,4,1,6,415,383.8,554.6,151.0,109.2,508,1766,177184,174974,a,100.0,,0.0,3.8
274,Asher Agbinone,Agbinone,Crystal Palace,Midfielder,4.3,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,223,14725,10968,a,,,0.0,0.0
275,Naouirou Ahamada,Ahamada,Crystal Palace,Midfielder,4.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,17,5497,7768,u,0.0,has joined AJ Auxerre permanently.,0.0,0.0
276,Justin Devenny,Devenny,Crystal Palace,Midfielder,4.3,29,1.6,1.2,0.0,593,1,0,1,10,0,0,0,81,86.6,94.5,164.0,34.5,244,2083,290782,337451,a,100.0,,0.0,0.0
277,Malcolm Ebiowei,Ebiowei,Crystal Palace,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,749,u,0.0,Has joined Blackpool permanently.,0.0,0.0
278,Jesurun Rak-Sakyi,J.Rak-Sakyi,Crystal Palace,Midfielder,4.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,4359,9546,u,0.0,has joined Stoke City on loan for the rest of the season.,0.0,0.0
279,Matheus França de Oliveira,M.França,Crystal Palace,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,95,1648,u,0.0,Has joined CR Vasco da Gama on loan for the rest of the season.,0.0,0.0
280,David Ozoh,Ozoh,Crystal Palace,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,191,u,0.0,Has joined Derby County on loan for the rest of the season.,0.0,0.0
281,Kaden Rodney,Rodney,Crystal Palace,Midfielder,4.4,1,1.0,0.0,0.0,3,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,35,40,5905,7005,a,,,0.0,0.0
282,Franco Umeh-Chibueze,Umeh,Crystal Palace,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,860,3064,u,0.0,has joined Portsmouth permanently.,0.0,0.0
283,Jean-Philippe Mateta,Mateta,Crystal Palace,Forward,7.5,85,3.5,6.5,0.2,1934,8,0,8,23,2,0,9,281,411.8,121.7,670.0,119.9,862,2091,4734083,5139974,a,100.0,,0.0,0.2
