id,full_name,web_name,team_name,position,now_cost_millions,total_points,points_per_game,selected_by_percent,form,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_next_round,news,ep_next,ep_this
680,Armando Broja,Broja,Burnley,Forward,5.2,39,1.9,0.2,0.2,807,1,1,1,25,0,0,2,107,96.4,62.4,205.0,36.0,39,112,47661,59830,a,100.0,,-0.3,-0.2
722,Florentino Ibrain Morris Luís,Florentino,Burnley,Midfielder,5.0,66,2.8,0.0,0.5,1651,0,2,2,37,4,0,0,286,343.4,173.2,44.0,56.3,19,46,14790,13085,a,,,0.0,0.0
776,Oliver Pimlott,Pimlott,Burnley,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15,9,697,479,a,,,-0.5,-0.5
784,George Brierley,Brierley,Burnley,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,5,457,337,a,,,-0.5,-0.5
820,Kian McMahon-Brown,McMahon-Brown,Burnley,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,5,75,11,a,,,-0.5,-0.5
66,Norberto Murara Neto,Neto,Bournemouth,Goalkeeper,4.5,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,16553,u,0.0,Has joined Botafogo permanently.,0.0,0.0
67,Đorđe Petrović,Petrović,Bournemouth,Goalkeeper,4.5,100,3.3,5.3,6.0,2700,0,0,9,46,2,0,5,405,670.6,0.0,0.0,67.3,10320,4190,1003997,755021,a,,,5.5,6.5
68,Will Dennis,Dennis,Bournemouth,Goalkeeper,4.0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,372,47217,87586,u,0.0,has joined Leyton Orient on loan for the rest of the season.,0.0,0.0
69,Callan McKenna,McKenna,Bournemouth,Goalkeeper,3.9,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,137,246,22851,19484,a,,,-0.5,0.5
70,Alex Paulsen,Paulsen,Bournemouth,Goalkeeper,4.0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,1107,10478,u,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,0.0,0.0
71,Illia Zabarnyi,Zabarnyi,Bournemouth,Defender,5.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,8211,u,0.0,Has joined Paris Saint-Germain permanently.,0.0,0.0
72,Marcos Senesi Barón,Senesi,Bournemouth,Defender,5.0,136,4.7,19.4,7.5,2568,0,4,9,45,8,0,11,438,901.6,297.3,176.0,137.7,73613,7159,5154481,3070974,a,100.0,,7.0,8.0
73,Adam Smith,Smith,Bournemouth,Defender,4.4,38,2.2,0.2,2.2,787,0,1,4,15,2,0,2,117,115.4,57.9,18.0,19.1,132,59,26727,41817,a,100.0,,1.7,2.7
