player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
668,35,0,0,0,0,0,0,0,0,0,0,0,5,7.6,11.3,4.0,2.3,3,4,0,7,0,0.00,0.01,0.01,0.73,1,False
669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
670,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
671,59,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,0.2,11.0,0.8,1,1,0,2,1,0.60,0.00,0.60,0.43,1,False
672,90,0,0,0,1,0,0,0,0,0,0,0,11,11.4,0.8,4.0,1.6,2,2,2,4,1,0.04,0.00,0.04,0.78,2,False
673,90,0,0,0,3,0,0,0,0,0,0,0,14,17.2,13.8,5.0,3.6,7,2,3,12,1,0.03,0.00,0.03,1.78,4,False
674,90,0,0,0,1,0,0,0,0,0,4,0,13,28.4,0.0,0.0,2.8,0,5,0,0,1,0.00,0.00,0.00,1.48,3,False
675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
676,82,0,0,0,2,0,0,0,0,0,0,0,13,5.0,1.5,0.0,0.7,0,4,1,5,1,0.00,0.01,0.01,1.30,2,False
677,66,0,0,0,1,0,0,0,0,0,0,0,5,0.2,2.7,0.0,0.3,0,4,0,4,1,0.00,0.04,0.04,1.28,2,False
678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
679,90,0,0,1,0,0,0,0,0,0,5,2,38,39.8,0.0,0.0,4.0,0,11,0,0,1,0.00,0.00,0.00,0.89,9,False
680,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
681,90,0,0,0,2,0,0,0,0,0,0,0,4,0.0,3.3,12.0,1.5,0,1,0,1,1,0.32,0.01,0.33,2.48,2,False
682,78,0,0,1,0,0,0,0,0,0,0,0,19,9.0,0.3,2.0,1.1,3,1,2,5,1,0.00,0.00,0.00,1.22,6,False
683,90,0,0,1,0,0,0,0,1,0,0,0,22,48.6,0.2,2.0,5.1,22,1,1,23,1,0.00,0.00,0.00,1.15,7,False
684,90,0,0,0,1,0,0,0,0,0,0,0,5,27.6,0.5,33.0,6.1,10,0,0,10,1,0.59,0.01,0.60,1.48,4,False
685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
686,25,0,0,0,2,0,0,0,0,0,0,0,12,11.0,26.1,21.0,5.8,0,2,0,2,0,0.08,0.28,0.36,0.44,1,False
687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
690,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
691,90,0,0,0,1,0,0,0,0,0,0,0,5,4.4,2.8,6.0,1.3,3,1,0,4,1,0.08,0.00,0.08,0.86,2,False
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
695,90,0,1,0,1,0,0,0,0,0,0,0,20,34.0,15.3,2.0,5.1,4,4,2,6,1,0.00,0.03,0.03,1.83,5,False
696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
697,16,0,0,0,0,0,0,0,0,0,0,0,5,5.0,0.3,9.0,1.4,1,2,0,3,0,0.04,0.00,0.04,0.23,1,False
698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
699,62,1,0,0,3,0,0,0,0,0,0,0,29,34.2,3.1,17.0,5.4,1,4,0,5,1,0.14,0.02,0.16,2.26,7,False
700,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
706,73,0,0,0,1,0,0,0,0,0,0,0,12,16.6,2.3,0.0,1.9,4,5,4,8,1,0.00,0.01,0.01,0.86,2,False
707,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.67,1,False
708,90,0,0,1,0,0,0,0,1,0,0,0,5,2.2,1.0,3.0,0.6,2,2,1,5,1,0.03,0.01,0.04,0.89,2,False
709,90,0,0,0,1,0,0,0,0,0,0,0,9,16.6,0.0,0.0,1.7,8,1,2,10,1,0.00,0.00,0.00,1.83,4,False
710,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
713,90,0,0,1,0,0,0,0,0,0,0,2,30,16.4,25.8,8.0,5.0,5,5,2,7,1,0.03,0.39,0.42,0.40,8,False
714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
717,16,0,0,0,0,0,0,0,0,0,0,0,9,8.4,14.8,2.0,2.5,2,1,1,4,0,0.09,0.15,0.24,0.28,1,False
718,30,0,0,0,0,0,0,0,0,0,0,0,6,8.2,0.2,0.0,0.8,2,1,2,5,0,0.00,0.00,0.00,0.46,1,False
719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
720,30,0,1,0,1,0,0,0,0,0,0,0,19,23.2,10.9,4.0,3.8,3,0,0,3,0,0.00,0.01,0.01,0.66,4,False
721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
722,56,0,0,0,1,0,0,0,0,0,0,0,10,10.4,3.6,0.0,1.4,5,2,0,7,1,0.00,0.01,0.01,0.81,1,False
723,90,0,0,0,1,0,0,0,0,0,0,0,12,17.6,13.7,7.0,3.8,5,2,1,6,1,0.18,0.04,0.22,1.58,2,False
724,54,0,0,0,0,0,0,0,0,0,0,0,3,0.8,2.3,0.0,0.3,1,0,1,2,1,0.00,0.01,0.01,0.42,1,False
725,90,0,0,1,0,0,0,0,0,0,0,1,25,26.4,0.7,0.0,2.7,13,4,3,16,1,0.00,0.00,0.00,0.82,9,False
726,42,0,0,0,1,0,0,0,0,0,0,0,-1,7.2,0.6,0.0,0.8,3,2,1,6,1,0.00,0.00,0.00,0.89,1,False
727,90,0,0,0,1,0,0,0,0,0,0,0,11,11.0,13.6,11.0,3.6,2,3,0,5,1,0.03,0.14,0.17,1.09,2,False
728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
732,9,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.6,5.0,0.8,1,0,0,1,0,0.10,0.00,0.10,0.22,1,False
733,90,0,0,0,2,0,0,0,0,0,3,0,8,22.4,0.0,0.0,2.2,0,7,0,0,1,0.00,0.00,0.00,2.48,2,False
734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
735,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.13,1,False
736,90,0,0,0,2,0,0,0,0,0,2,0,5,19.4,0.0,0.0,1.9,0,4,0,0,1,0.00,0.00,0.00,0.97,1,False
737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
740,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
